[1783874569.687900] FIN/RST (FA) | 172.31.11.58:62844 -> 172.65.216.67:5500
[1783874591.053873] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:50558
[1783874593.054810] SYN | 172.31.11.58:50862 -> 172.65.216.67:5500
[1783874593.055580] SYN | 172.65.216.67:5500 -> 172.31.11.58:50862
[1783874593.055686] FIN/RST (FA) | 172.31.11.58:50558 -> 172.65.216.67:5500
[1783874598.338410] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:50862
[1783874600.340058] SYN | 172.31.11.58:54556 -> 172.65.216.67:5500
[1783874600.340853] SYN | 172.65.216.67:5500 -> 172.31.11.58:54556
[1783874600.340953] FIN/RST (FA) | 172.31.11.58:50862 -> 172.65.216.67:5500
[1783874619.063274] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:54556
[1783874621.064616] SYN | 172.31.11.58:38672 -> 172.65.216.67:5500
[1783874621.065341] SYN | 172.65.216.67:5500 -> 172.31.11.58:38672
[1783874621.065436] FIN/RST (FA) | 172.31.11.58:54556 -> 172.65.216.67:5500
[1783874646.053516] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:38672
[1783874648.054497] SYN | 172.31.11.58:32450 -> 172.65.216.67:5500
[1783874648.055266] SYN | 172.65.216.67:5500 -> 172.31.11.58:32450
[1783874648.055376] FIN/RST (FA) | 172.31.11.58:38672 -> 172.65.216.67:5500
[1783874671.052812] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:32450
[1783874673.055019] SYN | 172.31.11.58:50976 -> 172.65.216.67:5500
[1783874673.055659] SYN | 172.65.216.67:5500 -> 172.31.11.58:50976
[1783874673.055883] FIN/RST (FA) | 172.31.11.58:32450 -> 172.65.216.67:5500
[1783874692.276339] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:50976
[1783874694.278056] SYN | 172.31.11.58:21208 -> 172.65.216.67:5500
[1783874694.279371] SYN | 172.65.216.67:5500 -> 172.31.11.58:21208
[1783874694.279513] FIN/RST (FA) | 172.31.11.58:50976 -> 172.65.216.67:5500
[1783874712.794454] FIN/RST (FA) | 172.65.216.67:5500 -> 172.31.11.58:21208
